"","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindSpeed3pm","Humidity3pm","Pressure3pm","Cloud3pm","Temp3pm","RainToday","RainTomorrow"
"93373",25.8,31.4,0,9.4,2.5,22,81,1011.5,6,28.5,"No","Yes"
"44802",17.7,29.4,10.2,8,12.8,24,22,1007.1,2,28.4,"Yes","No"
"85257",24.4,31.2,0.4,7.2,4.1,15,65,1008.3,6,29.8,"No","No"
"12483",7.5,17,1.2,2.4,8.6,33,40,1009.6,5,16.5,"Yes","No"
"103586",11.2,21,0,6.4,5.9,24,50,1014.4,2,19.6,"No","No"
"21679",20.8,23.5,13.6,0.4,0.2,24,88,997.1,7,23.1,"Yes","Yes"
"31620",19.6,26.5,0,8,10.7,20,51,1021.8,2,24.2,"No","No"
"104229",6.3,19.4,0,4.2,0.1,30,37,1009.3,8,18.8,"No","Yes"
"99446",13.8,21.5,0,5.6,2,43,58,1016.4,7,19.3,"No","No"
"84161",12.9,23.1,4.4,0.4,8.1,7,70,1022,2,21.5,"Yes","No"
"137341",18.3,31,0,8,10.7,19,25,1011.9,0,30.4,"No","No"
"65227",14.7,23.7,0,4.6,4.7,22,63,1014.4,7,20.6,"No","Yes"
"127353",11,22.8,0.8,2.2,8.4,37,36,1003,7,21.2,"No","Yes"
"101414",24.1,35.2,0,8.8,8.2,19,22,1013.2,5,33.8,"No","No"
"119576",14.2,33.2,0,10,13.1,19,25,1015.7,0,30.8,"No","No"
"34717",14.2,25.1,0,3.4,9.4,19,56,1020.6,6,24.2,"No","No"
"137310",19.8,32.1,0,5.2,10.9,15,22,1010.9,3,31.8,"No","No"
"45554",14.9,21.3,0.2,3.8,1.3,6,90,1017,8,17.7,"No","Yes"
"138338",22.5,33.4,0,6.2,11.2,26,28,1011.7,0,32.8,"No","No"
"76588",9.7,15.8,0,1.2,2.5,7,69,1028.9,4,14.9,"No","No"
"133474",5.3,8.8,13.2,0.4,1.1,17,73,1022.5,8,8.2,"Yes","No"
"92692",23.1,28.1,30.4,6.4,0,17,87,1005.4,8,27.1,"Yes","Yes"
"73535",11.5,16.9,0.6,5,3.9,19,62,1023.6,8,15.3,"No","No"
"91576",25.1,29.9,7,5.4,0,17,78,1007.6,8,28.8,"Yes","Yes"
"73321",1.9,12.8,4.2,0.4,8.7,15,59,1019.1,2,12.2,"Yes","Yes"
"136756",22.5,31.7,8,3.8,4.3,20,70,1008.3,7,28.6,"Yes","No"
"117532",16.1,32.8,0,12.6,13.3,20,14,1012.6,0,32.1,"No","No"
"116995",8.8,18.3,0,2.4,9.2,24,45,1029,1,17.8,"No","No"
"91983",25.3,30.6,1.4,6.6,3.7,7,67,1008,7,29.4,"Yes","No"
"135367",21.1,39.6,1.4,8.2,7.2,22,17,1007.6,7,37.2,"Yes","No"
"11907",21.3,33.4,0,8.8,13.2,13,38,1014.2,4,31.1,"No","No"
"103755",16.7,33.1,0,12,12.5,15,23,1014.8,0,31.3,"No","No"
"65857",11.6,17.5,0,5,8.4,28,41,1026.2,2,16.2,"No","No"
"67778",14.6,18.4,0,4.8,2.7,19,66,1012,8,17.2,"No","Yes"
"22446",18.3,23.2,0,4.4,0.5,26,73,1018,7,22.1,"No","No"
"133313",25.7,39.8,0,13.2,12.1,17,22,1003.1,6,38.2,"No","No"
"135302",12.5,34.3,0,12,11.7,11,7,1012.8,2,33.6,"No","No"
"120373",19.1,36.7,0,13.4,11.6,17,17,1014.9,3,35.5,"No","No"
"37146",6.3,16.6,0,2.6,2.1,11,55,1008.7,7,16.3,"No","No"
"135423",15.8,31,0,8.4,12.9,20,19,1009,1,29.4,"No","No"
"76962",8.7,11.3,5.2,1.4,0,26,100,1004.8,8,9.8,"Yes","Yes"
"120005",15.2,35.8,0,12,13.2,22,21,1006.3,0,32.2,"No","No"
"70773",11.9,22.7,0,4.6,1.5,15,34,1013.4,8,22.6,"No","Yes"
"21667",18.1,22,0.2,8.6,1.5,20,61,1012.2,8,20.8,"No","No"
"136017",25.3,33.3,0,7.2,7.5,26,51,1009.6,4,32.8,"No","No"
"63488",14.4,27.1,0,7.2,5.5,9,63,1012.4,1,24.4,"No","No"
"37510",1,22.1,0,5.4,12.2,28,21,1021.5,1,20.9,"No","No"
"120298",12.6,26.3,0,7,6.9,13,34,1008.7,3,24.6,"No","Yes"
"38302",10.4,25.6,11.2,3.8,13.9,15,23,1017.1,1,24,"Yes","No"
"63282",5.6,11.9,1.2,1.8,2.7,24,59,1016.7,7,11.1,"Yes","No"
"32024",15.1,23,0.4,3.2,9.8,22,42,1007.2,2,21.2,"No","Yes"
"9756",12.1,19.8,3.6,1.2,7.4,26,48,1009.9,1,19.1,"Yes","No"
"32561",13.6,22.1,3.4,5.2,2.1,15,75,1006.1,7,16.3,"Yes","Yes"
"64126",8.8,29.2,0,7.6,9.4,44,24,1014.6,7,26.4,"No","No"
"104336",9.2,23.3,0,5,5.4,30,20,1018.7,3,21.5,"No","No"
"32046",10.6,18.9,0,4,0.9,17,77,1028.9,7,17.5,"No","Yes"
"136725",24.2,33.2,0,8.6,8.7,22,61,1010.1,6,31.1,"No","No"
"63990",0.4,12.9,0,0.6,8.5,13,46,1030.3,1,12.5,"No","No"
"103794",11.1,20.1,3.4,0.2,10.9,11,51,1020.2,1,19.5,"Yes","No"
"101582",9.4,13.2,2.2,0.4,0.3,15,79,1025.5,8,12.2,"Yes","No"
"86161",12.1,24.6,0,6.6,10.7,31,43,1016.7,1,22.9,"No","No"
"83288",21.1,31.3,0.4,6.4,6.6,13,63,1010.3,6,28.7,"No","No"
"34638",21,28.6,0,5.6,8.9,28,62,1021.5,2,25.3,"No","No"
"34573",22.3,36.8,0,8,3.5,35,62,1002.5,7,26.2,"No","No"
"134625",21,37.1,0,11.4,5.6,33,48,1007.3,7,26.8,"No","No"
"87128",16.9,28.1,0,7.6,10.2,31,51,1017.1,2,27.4,"No","Yes"
"82960",21.8,26.3,18,4.6,0,7,95,1007.8,8,25,"Yes","Yes"
"81877",21.5,34.9,4,6.4,12.4,15,27,1003.1,0,33.7,"Yes","No"
"132939",23.9,25.2,0,13.8,0,13,57,1010.5,8,24.2,"No","Yes"
"39430",8.1,19.4,0,5.2,2.7,13,67,1019.8,8,17.6,"No","No"
"68158",9.9,14.3,0,1.8,1.7,11,73,1031.3,6,13.1,"No","No"
"104609",16.1,33.6,0,12.6,11.1,33,12,1004.8,0,31.8,"No","No"
"9476",8.4,18.8,0,3.2,9.2,26,51,1025,5,18,"No","No"
"32693",22.7,30.4,0,4.4,7.2,17,65,1010.4,5,28.1,"No","No"
"21773",20.7,23.2,0.2,3,0,30,91,1008.6,7,22,"No","Yes"
"105571",9.8,24.8,0,5.2,8.6,26,24,1019.5,3,24,"No","No"
"68940",17.3,39,0,8,13.1,13,15,1014.1,1,37.9,"No","No"
"61141",20.4,31.4,0,12.6,12,26,23,1015.4,8,29,"No","No"
"33689",10.9,19.7,0,2.8,2.5,11,61,1013.8,8,17.7,"No","No"
"138390",22.6,32.5,0,7.4,7.8,31,30,1012.8,1,32.2,"No","No"
"86266",22,32.3,0.8,3.4,10.8,22,45,1011.7,3,30.8,"No","Yes"
"119685",15.9,30.6,0,10.8,12.2,15,23,1016.2,0,29.2,"No","No"
"82724",10.5,24.3,0,2.8,9.8,7,40,1015.2,2,23.5,"No","No"
"103393",26.3,40.4,0,15.2,8.3,15,19,1009.4,5,38.7,"No","Yes"
"33139",17.1,26,0,8,10.1,37,51,1019.3,2,24.6,"No","No"
"68896",13.7,26.3,0,6.8,11.1,26,32,1004.4,7,24.6,"No","No"
"32843",17.4,22.9,0,7.6,5.9,28,44,1018.8,5,22.3,"No","No"
"100384",15.7,29.9,0,4.4,9.1,9,31,1007.5,7,28.2,"No","No"
"39296",8.4,24.3,0,3.6,10.7,20,28,1017.9,0,23.9,"No","No"
"91468",20.4,29.1,0.6,6.6,2.8,15,62,1015.8,8,26.5,"No","No"
"103704",18.1,38.2,0,12,13.5,6,7,1010.9,0,35.9,"No","No"
"35271",18.7,20.4,0,14.2,5.3,50,72,1017.3,7,18.2,"No","No"
"135990",22.4,31.8,0,4.6,10.6,26,57,1007.9,1,30.5,"No","No"
"67055",9.5,15.1,0,0.8,0,11,80,1033.9,7,14.6,"No","No"
"137544",26.2,32.2,4.8,7.8,4,30,70,1005.5,6,31.5,"Yes","Yes"
"103213",7.5,23.1,0,2.4,9.5,30,23,1007.1,1,22.6,"No","No"
"34435",12,25.5,0,6.2,10.5,33,27,1006.7,4,23.2,"No","No"
"83831",12.1,23.2,0,6.6,10.2,17,52,1020.7,3,21.4,"No","Yes"
"116435",17.6,26.5,0,8.6,10.6,33,44,1005.5,4,24.9,"No","No"
"100693",9.9,15.6,11.9,7.9,6.6,43,43,1004.4,7,15,"Yes","Yes"
"99167",7.2,22.7,0,2.2,10.3,20,45,1020.9,5,21.1,"No","No"
"86244",19.9,30.3,0.2,6.8,11.5,35,42,1012.9,1,28.7,"No","No"
"68733",-0.1,14.1,0,1,8.3,9,67,1026.5,1,13.9,"No","No"
"37497",7.2,28.2,0,4.6,6.8,39,26,1000.2,7,22.4,"No","No"
"135434",20.3,36.9,0,16,12.6,22,13,1009.3,1,36,"No","No"
"134949",7.3,33.1,0,11,12.3,17,2,1014.9,1,31.6,"No","No"
"32549",16,20.2,0,5.6,1.5,9,69,1017.8,7,18.9,"No","Yes"
"116315",16,22.7,0,2,2.4,15,61,1016.5,5,22,"No","No"
"97298",11.8,23,0,4.6,8,17,46,1009.6,2,21.4,"No","No"
"98784",17.5,25,0.4,6,3.5,17,82,1017.4,7,18.6,"No","Yes"
"61125",9.7,20,20.8,3.2,12.3,30,55,1021.8,8,19,"Yes","No"
"69925",15.8,37.1,0,8,13.3,9,21,1011.6,3,35.7,"No","No"
"82729",6.8,20.4,0,3.4,9.2,6,33,1015.9,2,19.6,"No","No"
"72826",15.2,23.8,0,3,4.6,17,65,1017.4,5,21.7,"No","No"
"73999",7.9,12.9,1.8,0.6,3,24,75,1024.1,7,12.7,"Yes","Yes"
"75924",8.9,15.6,0,1.2,0,6,75,1018.2,7,14.9,"No","Yes"
"33453",10.2,18.7,0,4.4,10.9,17,39,1017.2,1,18.2,"No","No"
"134289",8.3,31.9,0,10.2,11.3,13,4,1010.5,5,31.2,"No","No"
"11903",21.1,32.1,23,1.6,6.8,9,54,1008.7,5,31.2,"Yes","No"
"65471",7.1,19.4,0,3.4,7.9,39,45,1005.8,7,18.5,"No","Yes"
"63152",21,34.1,0,14.2,10.1,39,23,1011.3,7,32.4,"No","No"
"86597",19.4,30.2,0,5.8,12.2,15,67,1008.6,2,29.7,"No","No"
"35953",14,18.1,0,5.8,0.5,11,83,1003.1,7,15.8,"No","Yes"
"98982",11,15.7,0,2.4,3.4,28,61,1019.9,7,14.2,"No","No"
"38164",2.9,14.5,0,1.8,9.4,15,45,1012.6,4,13.9,"No","No"
"78432",1.6,14.4,1.2,1.8,7.8,7,59,1029.5,5,12.9,"Yes","No"
"33334",10.4,19.1,0,4,9,31,57,1016.2,1,19,"No","No"
"66906",13.6,20.8,9.4,6.6,11.5,17,45,1019.6,2,19.3,"Yes","No"
"34760",8.5,18.8,0,3.8,9.7,11,40,1012,1,17.1,"No","No"
"135458",21.9,34.5,4.8,3,11.1,22,43,1009.6,5,31.9,"Yes","No"
"9362",17.1,25.6,13.2,2.8,4.2,20,54,1030.1,7,24.4,"Yes","Yes"
"68485",20.7,39.3,0,10.6,11.9,17,18,1016.4,1,37.8,"No","No"
"65325",13.6,16.6,6.6,5.8,7.7,35,47,1011.3,6,15.3,"Yes","No"
"59941",-1.7,13.1,3,1.4,6,9,49,1022.3,6,12.7,"Yes","No"
"33544",17.1,29.2,0.4,6.8,13.4,30,46,1002.9,4,25.8,"No","No"
"73917",12,17.6,0,0.8,6.8,11,53,1034.4,3,16,"No","No"
"66402",16,27.7,0,5.4,5.8,26,35,1022.1,7,26.4,"No","No"
"69706",7,16.6,0,2.2,3.4,11,65,1026.6,6,14.9,"No","No"
"74076",5.8,14.2,5,2.6,1.4,9,68,1018.2,8,13.2,"Yes","No"
"134855",4.6,18.9,0,3,10.5,7,38,1021.1,0,18.3,"No","No"
"21140",19.1,21.3,10,1.8,3.8,33,74,1004.9,7,20.4,"Yes","No"
"65076",6.7,15.4,0,2,0.3,7,49,1022.9,7,15.1,"No","Yes"
"102147",9.9,25.2,0,8,11.6,11,23,1019.8,0,23,"No","No"
"70108",2.7,16.3,0,3.4,6.9,17,48,1018.9,5,15.1,"No","No"
"138801",17.7,34.2,0,8.6,11.1,24,26,1010.9,2,32,"No","No"
"31523",15.2,20,11.2,4,0,24,91,1010.5,8,18.4,"Yes","Yes"
"82785",9.5,23.5,0,2.8,9,6,49,1021.4,4,21.9,"No","No"
"126851",11.6,25.4,0,8,8.8,15,31,1008.7,4,24.3,"No","No"
"63318",4.3,13,5.6,2.4,4.2,26,50,1019.1,6,12.1,"Yes","Yes"
"117474",15.7,27.4,0,5.8,9.3,26,45,1018.2,0,26.6,"No","No"
"119579",15.9,27.7,0,9.2,12.8,19,51,1010.8,1,25.7,"No","No"
"97766",11,20.7,0,4,2.8,24,65,1008.4,7,18.7,"No","No"
"63662",4.6,17.1,0,0.4,6.5,9,53,1023.3,6,15.7,"No","No"
"74454",11.6,15.6,0.4,2.8,10.1,17,59,1020,6,14.8,"No","No"
"91790",13.9,26.1,0,5.4,10.2,31,64,1017.2,1,23.7,"No","No"
"76754",9.4,15.9,3.4,7.8,1.7,35,84,1020.2,7,13.7,"Yes","Yes"
"120035",20,36.4,0,10.6,12.4,13,33,1015.6,1,34.7,"No","No"
"36842",9,21.6,0,3.8,10.7,30,37,1015.7,7,19.1,"No","No"
"120472",17,30,0,4.8,10.1,11,27,1016.7,2,29.4,"No","No"
"69481",7.9,18.7,1.8,3.8,6.1,37,28,1004.1,6,17.7,"Yes","No"
"69188",10,28.7,0,6.6,11.5,9,23,1016,1,27.3,"No","No"
"69790",6,26.4,0,3.2,9,20,16,1015.4,1,25.3,"No","No"
"32442",9.2,19.3,2.2,1.6,9.8,15,29,1016.5,1,18.7,"Yes","No"
"22692",18.4,24.3,0,8.6,9.4,30,59,1021.8,5,22.6,"No","No"
"78071",8.1,13,3.2,1.4,1.5,9,78,1024.7,7,12.4,"Yes","Yes"
"86056",22.4,26.5,5,4,2,22,89,1013,7,24.7,"Yes","Yes"
"68377",6.3,14.6,0,0.8,5.1,11,43,1017.7,2,14.3,"No","No"
"20710",19.4,24.4,1.8,6.6,8.1,37,85,1021.4,7,20.1,"Yes","Yes"
"105572",14.7,25.2,0,5.8,6.1,6,29,1017.6,6,24.7,"No","No"
"135104",15,35.1,0,7.6,11.5,15,13,1011.4,0,33.9,"No","No"
"85495",21.5,28.7,3.6,5.8,5.5,28,69,1016.6,6,25.6,"Yes","No"
"101677",14.6,18.1,0,14.8,0.1,9,63,1011.8,8,17.5,"No","Yes"
"98302",8.8,15.2,1.4,0.8,1,20,69,1019.8,6,14.4,"Yes","No"
"119396",7,21.1,0,2.2,8.3,7,51,1026.1,5,19.8,"No","No"
"136072",26.5,33.2,0,6.8,3.7,19,62,1007.6,7,32.3,"No","Yes"
"98040",10.1,24.2,0,7.8,10.3,26,48,1018.2,2,21.9,"No","No"
"116775",11.8,29.3,0,4,13.4,26,44,1011.3,1,26.5,"No","No"
"66234",15,20.1,4.6,8.6,1.4,19,71,1021.8,7,18.4,"Yes","No"
"73045",8.3,14.6,5.8,3.2,6.6,24,74,1021.1,6,13.2,"Yes","Yes"
"116760",15,22.7,8.2,5.6,7.5,30,48,1012,4,21.7,"Yes","No"
"133330",21.2,33,2.2,6.2,8.8,17,40,1003,6,31.3,"Yes","No"
"68849",10.4,18.4,17.6,2.4,6.6,19,42,1015.9,7,16.2,"Yes","No"
"138073",15,30.5,0,7.6,11.2,22,34,1013.4,1,28.6,"No","No"
"101873",8.3,15.4,0,0.2,0.7,11,53,1010.1,7,14.7,"No","No"
"65093",11.1,21.5,0,5.2,4.2,33,45,1023.6,6,19.7,"No","No"
"97440",14.8,21.1,0.2,1.8,3.2,11,57,1018.2,6,20.3,"No","Yes"
"127272",9.6,22.2,0,3.2,12.7,19,41,1023.9,1,21.9,"No","No"
"60670",1.6,17.8,0.2,2,10.8,6,46,1036.4,1,17.3,"No","No"
"59878",1.8,18,0,1.2,9,37,63,1023.7,1,17.2,"No","No"
"116131",17.1,28.5,0,10.4,12,24,47,1006,1,26.7,"No","No"
"68071",14.2,31.5,0,7,11.8,7,28,1015.4,1,30.5,"No","No"
"40023",6.3,22.4,0,6,6.3,24,47,1021.4,3,21.7,"No","No"
"136407",24.7,35.4,0,8.4,11.2,17,24,1008.2,2,34.9,"No","No"
"13293",20.1,34.6,3.2,10,10.9,19,38,1005.7,6,33.1,"Yes","No"
"101638",11.6,34.4,0,8,11.8,20,8,1008.4,6,34.1,"No","No"
"91801",15.9,26.8,0,8.6,9.9,33,58,1018.5,4,23.3,"No","No"
"60565",3.5,14.8,2,2,8.3,19,59,1020.7,4,12.6,"Yes","No"
"137070",24.5,32.8,0,7.6,7.1,22,57,1010.1,4,31.2,"No","No"
"135334",20.6,37.6,0,10.6,12.7,15,13,1009.8,3,36,"No","No"
"37543",15.2,35.9,0,9.4,6,28,9,1002.4,6,34.4,"No","No"
"31084",9.1,18,0.2,0.8,8.1,11,57,1028.2,2,16.6,"No","No"
"73654",8.5,13.8,0.4,0.2,7.2,24,67,1028,3,12.9,"No","No"
"32125",6.2,14.3,17.2,0,1.7,26,51,1012.9,7,13.5,"Yes","Yes"
"22185",12.9,17.1,0.6,4,6.9,22,58,1023.2,5,15.3,"No","No"
"35445",11.4,22.3,0,7.6,9.9,26,21,1013.6,2,21.2,"No","No"
"36853",13.6,23.7,22.8,9.6,10,28,30,1015.8,2,22.8,"Yes","No"
"116794",15.3,31.9,0,12,13.3,24,20,1018.2,0,31.1,"No","No"
"31537",15.2,24.1,0,5,12.1,22,44,1019.6,5,23.3,"No","No"
"119572",18.1,24.2,0,7.2,6,24,57,1015.4,7,21.7,"No","No"
"63492",15.3,19.9,3,5,0.7,19,71,1016,7,19.3,"Yes","No"
"92320",21.3,31.2,0,9.4,8.6,35,51,1014.1,2,29.3,"No","No"
"91584",25.4,30.6,0.6,5.6,1,24,76,1008.1,7,28.8,"No","Yes"
"81888",19.6,28.7,0,9,8.9,17,56,1010.6,7,26.2,"No","No"
"92890",17.3,29.1,0,8.4,11.9,17,50,1012.1,1,28.3,"No","No"
"9301",18.7,29,0,7,13.6,28,62,1014.2,1,28.1,"No","No"
"83882",17.7,26.4,0,6.6,7.7,11,52,1015.3,1,25.2,"No","No"
"90838",23.4,33.8,21.2,8.4,10.6,17,42,1004.8,5,32.3,"Yes","No"
"69358",14.9,24.3,3.2,3.2,10,19,54,1007.6,6,22.2,"Yes","No"
"114873",8.9,17.6,7.6,1.2,1.4,13,89,999.5,7,15.3,"Yes","Yes"
"138130",22.4,34.2,9.4,8.6,5,20,50,1009.9,6,32.6,"Yes","No"
"65008",4.6,11.4,0.2,0.8,4.9,20,72,1024,6,9.9,"No","No"
